!   Filename:    tst001s.dgn
!   Date:        01/01/2026  12:00:00 PM
!   9900    40 00 00.0000  100 00 00.0000
!   9901    00 00 00.0000  100 00 00.0000
!   9902    41 00 00.0000  000 00 00.0000
!   9903    39 00 00.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 40 00 00.0000  099 59 60.0000  !
LINE !
GP 40 15 00.0000  100 15 00.0000  !
GP 40 15 00.0000  099 45 00.0000  !
GP 39 45 00.0000  099 45 00.0000  !
GP 39 45 00.0000  100 15 00.0000  !
GP 40 15 00.0000  100 15 00.0000  !
LINE !
GP 40 06 00.0000  100 24 00.0000  !
GP 40 09 00.0000  100 18 00.0000  !
GP 40 06 00.0000  100 12 00.0000  !
GP 40 09 00.0000  100 06 00.0000  !
GP 40 06 00.0000  100 00 00.0000  !
GP 40 09 00.0000  099 54 00.0000  !
GP 40 06 00.0000  099 48 00.0000  !
GP 40 09 00.0000  099 42 00.0000  !
GP 40 06 00.0000  099 36 00.0000  !
